k_E,k_M,k_CD,k_CDS,k_R,k_RE,k_b,k_CE,k_I,k_P1,k_P2,k_DP,d_M,d_E,d_CD,d_CE,d_R,d_RP,d_RE,d_I,K_S,K_M,K_E,K_CD,K_CE,K_RP,K_P1,K_P2,off_thresh
1.0325,0.7333,0.0098,0.057,0.1052,71.8205,0.0054,1.6975,0.7902,7.1427,12.5063,7.2314,5.965,0.2752,0.9127,8.4431,0.1065,0.2118,0.0039,0.122,2.4812,0.0468,0.099,0.184,6.1113,0.0171,0.7782,6.5674,1.2741642430656293
2.2347,0.5741,0.2037,0.0843,0.1162,29.9605,0.0062,0.1811,0.1261,6.9784,153.6013,1.2508,3.9385,0.5772,1.8747,6.3413,0.0095,0.3009,0.2343,0.0333,0.8334,0.0343,0.4101,0.905,0.4558,0.0084,4.5397,15.5604,0.7010978243319052
3.7555,7.2868,0.0286,0.2507,0.0433,725.3771,0.0279,0.1936,0.9901,9.4412,143.191,1.056,3.0229,0.2718,1.3156,0.3383,0.0206,0.0932,0.0072,0.8143,1.4708,1.1766,0.5213,0.9154,0.3302,0.0034,1.626,0.916,0.6328518094287703
0.3791,4.1394,0.0147,1.2832,0.0568,425.9668,0.0297,0.1608,1.0956,84.8504,29.5344,1.1614,1.0513,0.5331,10.4608,2.2145,0.17,0.0294,0.0073,0.0807,2.5137,0.0445,0.1769,0.4534,0.2275,0.0117,13.6561,8.2346,1.169934601268782
0.7239,0.8177,0.047,0.2431,0.5864,260.6405,0.0007,0.1159,0.0861,265.6989,16.9729,5.5658,0.9186,0.1594,8.8423,1.5161,0.5075,0.026,0.005,0.4355,0.5168,0.0203,0.4027,2.1668,0.3246,0.0125,1.1463,6.3227,9.386830622157404
2.3607,0.1677,0.0229,0.0697,0.1932,73.8259,0.0026,0.1243,0.0655,49.7622,8.395,5.0342,0.9322,0.606,3.3958,0.7609,0.1094,0.1782,0.0175,2.2359,2.3058,0.4354,0.0656,5.7964,0.2165,0.0025,0.2969,0.8796,3.2026888840849543
2.0694,0.9794,0.0294,0.1013,0.7035,65.1366,0.0012,0.183,0.6793,12.8298,412.5584,24.4957,1.7844,0.1485,0.1864,0.5059,0.1133,0.0382,0.0886,0.434,2.1674,0.3933,0.0666,0.1854,0.1044,0.0425,0.4814,19.4998,4.067180718469114
2.6066,0.8291,0.0359,0.2847,0.1969,51.8594,0.0008,0.1696,0.2683,41.2276,41.7471,0.9852,1.3041,1.8437,0.5552,0.2909,0.0409,0.0171,0.0171,0.2285,3.9184,0.351,0.4267,8.0387,0.2032,0.0016,1.2538,6.3815,5.344384781339817
3.7036,0.873,0.0109,0.7398,1.7103,342.4159,0.0014,3.4619,0.2691,24.1583,44.302,25.6694,2.0019,0.1447,0.5064,7.1083,0.0315,0.1417,0.0031,0.9719,1.9725,0.0209,0.0357,0.7158,3.7011,0.0033,0.5472,1.7417,0.8175108197520642
2.6087,0.1656,0.1199,0.0485,1.2933,63.1492,0.0184,0.0406,0.0228,5.9224,94.95,3.9621,0.3422,0.4017,9.9948,0.679,0.1474,0.2987,0.0603,0.1769,0.8015,0.0561,0.0194,1.2928,3.1071,0.0016,2.2689,0.5929,0.5615813381678192
0.1439,5.0429,0.0894,0.0586,0.0325,1627.249,0.0162,0.1607,0.0627,152.1506,186.9638,7.7085,2.7025,0.1396,6.3108,3.4001,0.2906,0.221,0.0053,0.0429,3.1044,0.032,0.2,0.2895,0.6664,0.0243,2.9403,0.2685,0.6437463678832092
0.4883,0.1203,0.2258,0.0525,0.0245,1570.5003,0.0003,0.4148,0.0326,143.2993,401.4692,1.4724,0.5751,0.0339,0.7282,2.6332,0.0342,0.1457,0.0214,0.0694,3.4344,0.0817,0.0736,2.8993,0.3319,0.0049,4.5721,14.6975,0.8752750952989159
1.9437,0.742,0.2666,1.3852,1.4115,30.0318,0.0006,0.0577,0.1009,162.1757,16.1887,0.8915,0.1265,0.0274,4.3089,3.0608,0.2348,0.0521,0.2097,2.3905,4.0329,0.2574,0.6168,2.0801,2.1321,0.0138,2.7236,1.4244,0.6221416270109802
1.1667,0.2602,0.0652,0.0738,0.1426,558.0556,0.0081,0.9944,0.7455,48.6425,61.9121,10.9494,0.1429,1.5305,0.5429,10.604,0.1768,0.259,0.1639999999999999,0.0683,3.6528,0.0833,0.1094,0.8657,0.1323,0.0011,0.3112,1.5221,6.6721172658878105
1.6874,0.4368,0.009000000000000001,0.0577,0.3312,297.3364,0.0064,0.1779,1.1398,170.9946,99.5687,15.317,0.4599,1.9293,0.5542,8.9932,0.0814,0.0634,0.1865,0.2964,3.0815,0.0439,0.1208,0.2161,0.2936,0.0024,0.3193,15.1963,2.842008638456872
2.6156,1.3993,0.0108,1.0399,0.32,624.0024,0.018,0.5372,0.147,4.5562,20.2604,1.6788,0.45,0.0973,0.3182,1.0761,0.4135,0.5269,0.0946,0.1192,1.636,0.0692,0.5539999999999999,0.8812,9.1526,0.0016,0.481,0.2007,0.8175108197520642
0.7435,0.8787,0.0361,1.0028,0.2018,377.2657,0.0204,0.079,0.1487,158.0972,20.5477,4.9292,0.1776,0.0695,2.4130000000000003,3.4254,0.0108,0.0292,0.0042,0.1518,1.7283,0.5264,0.0769,0.2654,0.1413,0.0953,14.5936,11.9171,1.886770253887835
0.3747,1.2142,0.0564,3.0260000000000002,0.2139,1459.3662,0.0005,2.173,0.0196,26.1236,201.6126,8.2163,1.7297,0.0377,5.1142,3.1263,0.1463,0.2611,0.008,0.1734,1.1576,0.1843,0.0287,0.104,2.2898,0.0315,2.983,15.1499,2.609525625390047
1.6849,0.2646,0.2588,0.0891,0.0679,129.9577,0.0052,2.3694,0.0194,13.2981,13.3899,0.414,0.7193,0.5648,3.2141,1.8812,0.0245,0.0701,0.0634,2.7361,0.3049,0.5716,0.1525,7.2728,1.7544,0.0033,0.2001,13.8396,1.2960990098148373
0.2289,0.6579,0.1992,3.4324,0.682,77.8523,0.002,0.478,0.0369,26.0696,320.7889,9.2556,0.1062,0.0397,0.9729,1.8062,0.0197,0.2449,0.0522,1.2954,0.3811,0.0264,0.6133,0.3439,0.6642,0.0176,11.0697,8.2392,1.4605873589678349
0.2525,0.3718,0.0328,0.314,0.0186,894.1784,0.0015,0.057,0.2009,428.0621,90.4271,31.9238,0.2333,0.079,3.3689,3.0074,0.0068,0.022,0.0082,0.0367,0.6802,0.9958,0.0419,6.4651,6.0452,0.0053,9.0102,6.2851,1.485731403944893
1.3241,0.8319,0.2781,0.5172,0.1297,1210.1995,0.002,0.0513,0.022,13.9914,97.7565,14.0033,3.2822,1.2468,0.1694,3.0602,0.1311,0.1339,0.01,0.9414,0.2732,0.1937,0.0732,0.176,3.3137,0.0019,8.5219,2.8463,1.169934601268782
0.1028,0.2071,0.1209,0.1803,0.3864,124.8886,0.0028,0.0617,0.9174,319.3719,233.4278,0.6896,0.222,0.0259,1.3286,1.2301,0.0075,0.0457,0.0281,1.0747,0.1773,1.1843,0.927,5.4308,0.1162,0.0111,5.4082,0.8815,1.341107866377506
0.2958,0.2044,0.0488,4.0253,0.0834,551.5914,0.0018,0.3892,0.5273,429.3675,21.6516,3.4865,0.0878,0.064,2.4562,1.0845,0.0097,0.2759,0.0332,0.0964,1.7515,0.2842,0.1238,2.9126,0.7928,0.0043,8.3447,6.4274,0.5615813381678192
0.7979,2.6077,0.0319,0.1059,0.081,180.5337,0.0147,0.0592,0.1376,7.5032,17.7803,6.675,0.9401,0.0594,0.3226,4.5139,0.0124,0.0063,0.2929,0.2486,0.8409,0.816,0.075,0.1096,0.3363,0.0058,6.9256,0.2642,0.8175108197520642
2.1876,4.5499,0.0087,3.8088,0.7667,50.905,0.0008,2.6067,1.1411,39.7969,80.721,2.1891,5.8975,0.4674,5.3642,9.2174,0.4392,0.2183,0.0094,0.4412,2.6726,0.04,0.5429,2.9963,5.0268,0.0031,0.3687,0.7575,0.737932972478841
1.6787,0.1029,0.0062,0.3091,1.0002,134.2295,0.0012,0.1765,0.0168,85.6012,18.7248,0.8093,0.0769,1.6049,0.155,6.2564,0.2206,0.0566,0.0514,0.0816,2.1996,0.1246,0.6693,8.6113,1.7673,0.0219,2.2833,3.0138,1.919251047202832
0.3453,0.6209,0.1143,0.3835,0.293,30.8696,0.0102,0.2504,0.4492,69.6004,247.891,1.586,1.0797,0.0635,3.0573,6.1036,0.0155,0.4919,0.0073,0.0476,0.6541,0.0381,0.059,7.6951,1.2183,0.0053,1.0994,0.2858,1.111535375367275
0.5372,0.1847,0.0457,0.2653,0.0344,153.4531,0.0066,1.0437,0.3733,143.9665,40.5593,0.7463,0.241,0.0276,0.2329,0.9491,0.0368,0.072,0.2301,0.0418,0.4023,0.1925,0.4266,6.0937,2.4918,0.0166,14.5547,5.4684,3.930682262109677
0.0549,0.2158,0.0237,0.1932,1.2282,20.0446,0.0027,2.7999,0.2532,160.0992,140.8164,8.5307,1.8757,0.0262,0.5985,3.4261,0.0135,0.0102,0.0054,0.1003,0.8875,0.087,0.0482,0.4421,1.5708,0.0022,7.7777,12.0017,1.7324279948062888
2.5212,6.9419,0.2052,0.0769,0.2308,124.8974,0.003,0.5814,0.0266,125.9823,10.7864,4.6304,3.9733,0.2079,8.3858,3.136,0.0072,0.4012,0.0881,0.2444,1.1297,1.3659,0.2462,1.2535,0.2286,0.0175,0.556,0.8062,1.674286062245708
0.3361,0.1273,0.0151,0.4047,0.0222,822.8104,0.0018,0.044,0.0183,16.6044,67.0125,0.7311,0.4754,0.0546,1.1324,0.2636,0.3957,0.0955,0.0254,0.0853,3.8279,0.4089,0.2456,0.1544,6.5277,0.006,2.4933,2.6144,2.2000568870820585
0.2703,0.382,0.011000000000000001,0.1008,0.2326,1423.0018,0.0119,0.1172,0.1575,76.95100000000001,130.5248,0.8221,0.0819999999999999,0.1608,0.5091,0.9339,0.2582,0.0763,0.113,0.1023,1.6946,0.2332,0.1742,0.1527,0.7306,0.087,12.2574,3.3796,7.391630756375023
1.6441,0.2094,0.0109,1.1629,0.1497,216.7057,0.022,0.0998,0.0194,13.3425,134.0754,0.8034,1.4242,2.3843,3.6933,0.8408,0.0845,0.0181,0.0082,0.0356,2.2707,0.0151,0.5183,2.7682,0.7064,0.0726,0.2179,7.8305,1.2960990098148373
1.1293,3.9794,0.0796,0.6434,0.0873,46.9583,0.0014,0.0903,0.0269,4.6357,73.6635,10.4838,0.4459,0.0399,3.0275,0.4756,0.0119,0.462,0.021,0.0521,0.4354,1.3162,0.6118,2.734,2.0685,0.0185,0.4293,0.7572,1.886770253887835
3.7286,1.0173,0.1041,3.5929,1.3368,23.9046,0.0058,1.8367,0.1158,11.1524,78.6665,7.8949,0.6189,0.0628,0.8614,8.1064,0.5,0.0114,0.0073,0.0977,3.2745,0.0909,0.9252,8.0427,0.2927,0.0805,0.6707,2.209,0.921261385208434
1.3211,2.5639999999999996,0.003,0.2623,0.3241,184.5066,0.0008,0.0437,0.0242,79.0407,124.5452,2.6449,0.7695,0.1025,0.7113,3.9895,0.2826,0.0168,0.1461,1.2462,0.0724,0.6173,0.4018,0.4299,0.2107,0.0083,9.277,0.6252,0.6775683139898405
1.7826,0.7638,0.1844,0.6965,0.4058,26.857,0.0009,0.3094,0.1837,28.9994,13.2027,0.3801,1.1119,0.0753,2.2305,3.2126,0.0127,0.0819,0.0066,0.0593,1.0346,0.2202,0.8798,3.2456,1.3126,0.0043,1.0401,0.4018,0.725444429932863
3.0043,0.1456,0.0987,0.2736,1.4192,19.3271,0.0003,0.1572,0.7769,99.4955,414.0874,35.3934,6.3269,0.1471,0.3136,1.0255,0.1252,0.0083,0.032,0.2383,1.7399,0.0157,0.3841,0.1028,7.9004,0.0215,2.1533,4.901,8.767341419868659
2.3284,0.8111,0.0043,1.0008,1.4038,268.1677,0.0124,0.1619,0.2576,316.7085,107.1751,15.8867,0.0917,1.3598,2.0253,0.1584,0.0693,0.1689,0.004,0.0353,0.3842,0.0206,0.6898,3.3382,0.6439,0.0627,0.2417,2.8984,0.6548284764120079
1.7026,0.2161,0.0105,1.3613,0.8936,511.9227,0.0203,1.2597,0.0746,8.0866,140.6767,22.0376,0.9563,0.8764,2.5425,0.4034,0.0703,0.02,0.1303,0.0472,0.999,0.0385,0.0371,9.0194,6.1305,0.0034,0.2026,0.244,2.355510110664712
3.0887,0.3161,0.0046,0.6475,0.7202,458.1633,0.0006,0.0579999999999999,0.1861,51.9021,69.3882,9.2989,0.2372,0.0586,0.3185,0.6135,0.098,0.1202,0.0043,0.1767,2.8768,0.452,0.1433,0.1652,0.4247,0.001,9.4413,0.4657,2.7939113896265595
0.4652,0.6115,0.0606,0.1412,0.0587,25.3382,0.0139999999999999,0.1412,0.3592,18.6533,102.4017,12.4683,0.5915,0.069,1.1878,0.1837,0.0715,0.0064,0.214,0.1963,3.9253,0.2984,0.3364,0.1403,3.1713,0.006,1.1942,9.4858,1.435868843797934
0.3399,3.6835,0.0452,0.2351,1.1755,32.2626,0.0029,0.2046,0.5158,77.7439,184.7519,1.5434,1.4503,0.1348,1.9853,0.9531,0.0698,0.0462,0.1636,0.4388,2.9677,0.0809,0.5891,0.0979,0.8874,0.0379,5.7395,0.6311,3.0428213569333638
1.3452,0.1098,0.0875,3.362,0.115,83.7884,0.0003,0.8929,0.0354,22.1265,24.6963,11.5237,3.1637,0.5375,3.8973,5.1166,0.0844,0.2647,0.1108,0.0319,0.6263,0.0544,0.1954,8.8539,0.5566,0.0226,1.0472,1.0318,2.940701375809125
1.7051,0.7586,0.0444,1.2187,0.1922,210.5654,0.0005,0.1009999999999999,0.3482,296.0823,153.1961,15.6169,0.8776,0.0351,2.8127,2.7788,0.0146,0.0119,0.0194,0.1525,2.2458,0.1638,0.1939,6.1218,0.2712,0.0061,2.7207,1.9319,0.9056702510075936
0.3373,0.2344,0.213,0.0652,0.8858,89.105,0.0005,0.8692,1.3353,447.2185,10.2919,0.7548,0.0809,0.0306,1.1366,0.5358,0.2353,0.0211,0.1432,0.0668,1.0261,0.9117,0.6952,0.3389,0.0952,0.0181,4.1617,8.4908,0.6437463678832092
2.7693,0.8472,0.0231,0.1704,1.4688,123.6069,0.0062,0.0833,0.3223,76.9388,4.7512,0.376,3.7171,0.2367,2.641,11.2867,0.03,0.1693,0.0163,0.0489,1.0942,0.0177,0.0325,9.1357,0.5495,0.0408,6.9264,0.5561,3.0952035965756077
0.8479,0.166,0.005,0.8103,0.0869,187.4676,0.0268,2.6282,0.1867,16.3401,11.1317,13.6568,0.583,0.1844,3.6232,3.9228,0.0188,0.0326,0.0312,0.171,3.1024,0.093,0.099,5.0725,2.1227,0.0233,1.1858,0.3498,1.485731403944893
0.9156,7.0859,0.0602,0.4,0.05,47.2755,0.0004,0.0534,0.2019999999999999,34.3275,52.7407,0.7787,0.1668,2.0187,1.2113,13.2004,0.059,0.563,0.0241,1.4092,0.5186,0.7118,0.2363,5.5712,0.7642,0.0475,10.3956,1.5707,0.8752750952989159
0.8666,1.8727,0.0037,0.1641,1.2905,91.3866,0.0022,1.5302,0.1011,443.2902,16.3657,35.6374,6.29,0.4286,3.1363,3.8076,0.0153,0.4598,0.0112,0.3616,0.3129,0.0327,0.0307,0.5868,0.3453,0.005,1.153,0.3555,1.7925889875490637
1.1087,0.4674,0.0086,1.0170000000000001,0.0817,381.6814,0.0125,2.9061,0.0825,29.7962,28.6093,2.3,2.2084,0.6463,4.2158,7.4556,0.2946,0.1916,0.0215,0.1681,1.3234,0.1045,0.356,1.8683,3.5428,0.0025,0.4306,1.0434,1.2741642430656293
0.5299,2.823,0.1977,0.1337,0.0466,1002.9827,0.023,0.0502,1.3503,7.4805,63.3653,22.5905,3.6624,0.2148,4.7147,1.9665,0.2497,0.0068,0.2436,2.5747,1.3703,0.2656,0.0696,0.3003,2.8861,0.0027,0.5012,1.1857,0.831584287316239
2.1188,0.1531,0.0408,3.6778,0.1235,699.841,0.0004,0.0482,0.6994,27.0444,13.4969,1.7387,0.1427,0.3227,3.6927,4.8031,0.0154,0.0125,0.0459,2.5347,1.2752,0.6283,0.0417,2.1541,3.5298,0.0239,3.8083,0.2747,1.2741642430656293
0.9763,0.7131,0.0126,0.2615,0.0538,1436.5542,0.0007,0.8983,0.074,46.4255,9.5415,8.3625,0.1097,0.0711,0.5094,6.2512,0.1259,0.0104,0.2237,0.6823,3.464,0.0733,0.9517,1.3018,0.7554,0.0537,0.5684,0.8452,6.903815899028925
3.6069,0.1424,0.0069,0.5153,0.6823,24.3429,0.0008,2.3456,0.0819999999999999,27.0276,10.1151,1.2133,0.7371,0.9195,3.7498,0.3534,0.179,0.0597,0.1989999999999999,0.8557,4.7553,0.0167,0.8845,0.2208,0.2013,0.012,1.6268,4.2771,2.020087042125861
0.0494,0.7626,0.0039,0.1811,0.4844,253.986,0.0175,0.1722,0.1176,447.1345,90.075,0.5324,0.1741,0.3092,11.7718,1.6162,0.2238,0.307,0.0363,0.0627,0.7427,0.4743,0.2397,0.6845,0.1865,0.0017,1.0483,0.5301,1.8548391551716292
0.0512,9.5515,0.0147,0.7713,0.1292,919.77,0.0004,0.9498,0.0866,25.2164,300.6305,0.4973,1.4178,0.0459,10.3622,0.7753,0.0197,0.5033,0.0379,0.4299,2.1188,0.6278,0.1511,0.5057,6.3507,0.027,4.5209,2.4011,5.72201221779545
0.8106,0.1123,0.0031,0.9933,0.8124,552.5688,0.0014,0.1459,0.2413,27.2747,51.4893,6.367999999999999,0.2032,0.9567,0.9492,0.2011,0.3363,0.0495,0.0113,1.4722,0.6292,0.2086,0.0326,3.2007,0.2209,0.0436,4.7973,2.1184,1.485731403944893
0.0963,4.8627,0.1864,2.5599,0.0735,74.594,0.0003,0.078,0.2328,77.7756,37.8411,8.0618,0.084,0.0301,8.7073,1.7523,0.0066,0.067,0.0089,0.1221,0.1354,0.2889,0.3728,1.4061,0.1009,0.0031,0.4431,0.347,1.0927241047717842
2.0042,0.1358,0.2683,2.0699,0.22699999999999998,79.9452,0.0163,0.0469,0.0211,24.4358,5.2853,1.7056,1.8786,0.3748,5.0502,7.5982,0.0106,0.0202,0.0047,0.2469,4.1475,0.1084,0.1087,4.8004,4.9788,0.0056,1.5827,0.5273,2.842008638456872
0.0526,0.6627,0.2896,0.4827,0.1279,246.3417,0.0011,1.8705,0.6012,364.578,4.7802,17.6964,0.292,0.0342,0.2942,1.8978,0.0523,0.0664,0.0226,0.1629,0.0643,0.5225,0.1365,9.082,2.239,0.0045,1.8661,0.3764,1.6180954282857098
0.19699999999999998,0.3514,0.0102,1.4238,0.5543,91.5645,0.0111,0.4678,0.3267,56.3408,88.7768,1.4231,0.18,0.0278,4.2072,0.2227,0.062,0.013,0.0042,0.0458,1.6703,0.3851,1.2172,1.9033,0.1232,0.017,0.9697,1.0025,0.5069160874084907
1.4915,1.0329,0.026000000000000002,0.1034,1.0123,76.4502,0.0091,0.5526,1.4131,94.9868,39.2968,2.2235,0.1417,0.22,0.162,3.6307,0.4447,0.2512,0.0419,0.4818,2.4206,0.0155,0.3147,2.656,8.0807,0.0109,8.5182,1.4152,1.823448448197939
1.0813,0.6283,0.0036,0.8015,0.4924,478.2404,0.0016,0.8596,0.2228,11.2253,13.2644,14.665,0.0962,0.0739,0.708,1.0425,0.1898,0.1872,0.0722,2.1454,1.3397,0.0545,0.1588,0.6355,0.8133,0.0172,0.3523,4.0604,0.921261385208434
0.182,1.1004,0.028999999999999998,0.5736,0.7402,287.345,0.0032,3.2105,0.0341,12.2236,23.4415,4.6183,3.8127,0.0376,0.5408,0.2198,0.0497,0.1031,0.0058,0.0482,4.3584,0.121,0.1627,1.8962,2.7446,0.0022,0.4276,0.2599,1.4115686569042938
0.2624,0.5534,0.298,1.9148,0.0588,127.997,0.0013,1.9769,1.2428,6.1836,23.4543,1.9505,3.4581,0.0577,6.9208,13.0853,0.4381,0.0628,0.0093,0.1437,2.4356,0.1997,0.0242,0.6855,6.23,0.018,3.7162,6.3069,2.8909338825319995
3.8269,0.2771,0.0043,0.5318,0.0984,1187.3669,0.0007,1.6582,0.0486,314.2609,26.2891,9.1282,0.4337,0.2625,3.5519,3.5848,0.1174,0.0314,0.2612,0.0354,4.792,1.3268,0.0204,1.2258,5.553,0.0024,0.2063,0.2523,0.7767034113825269
1.2879,0.6224,0.1076,0.0783,1.4857,53.691,0.0077,0.6219,0.0411,48.0961,4.5261,1.2706,0.9967,1.2444,0.2151,1.1858,0.0188,0.0251,0.0034,0.2389,4.6678,0.175,0.1203,5.3862,7.5085,0.0024,8.2984,0.2275,3.4880168971319225
0.1937,1.1775,0.0143,0.0624,0.0417,134.4247,0.0201,1.0218,1.2895,6.044,10.9257,0.9833,0.3949,0.1336,0.2998,7.9775,0.3153,0.0967,0.2059,0.4023,4.4894,0.5416,0.2839,0.1226,2.2023,0.0846,0.2459,0.2237,7.14356059228261
2.9951,0.3664,0.0572,0.1119,0.2143,58.1205,0.0075,0.2839,1.0617,16.0322,6.9739,2.3877,3.5603,0.1126,0.5902,0.3227,0.1074,0.0122,0.1119999999999999,1.7257,3.8925,0.3906,0.038,0.8598,0.2021,0.0026,14.0535,1.2308,2.126220883772453
1.8849,0.3008,0.0232,0.5965,0.9988,236.3596,0.0004,1.0328,0.1876,15.8884,143.3271,3.1543,0.3937,0.0566,0.8803,5.1363,0.01,0.011,0.0089,0.2461,0.1791,0.0266,0.0546,0.606,4.7749,0.0189,3.6743,19.1782,2.090237398876876
1.2051,7.2223,0.0125,0.3283,0.032,71.8038,0.0028,0.0646,1.2669,30.6668,10.7772,0.8726,4.3402,0.0293,11.2768,3.5008,0.2793,0.2689999999999999,0.0047,0.2984,0.3337,0.4292,1.3089,0.958,4.9979,0.0061,3.5179,2.6216,1.2960990098148373
0.9503,5.1416,0.1505,1.6281,0.1044,1517.4144,0.0007,0.0708,0.3628,46.1891,17.3001,27.2199,0.5765,0.1012,0.2847,3.3995,0.3011,0.4619,0.0133,1.2732,1.4189,0.1211,0.7404,1.186,1.9248,0.057,18.8839,16.6766,5.92071712012956
0.3986,0.2158,0.2681,0.2655,0.2001,30.8672,0.0007,0.0449,0.7626,62.7909,76.6451,5.1308,0.3552,0.0273,10.9356,0.1506,0.5753,0.4413,0.0084,1.2717,0.7213,0.3132,0.8039,2.3437,0.3057,0.0508,0.3232,7.8042,1.3876797186324314
0.1581,1.5334,0.0333,0.3803,0.0468,1683.0712,0.0208,0.3269,0.0607,13.8136,78.6745,25.3873,0.5743,0.4949,1.8028,4.2996,0.449,0.3667,0.0471,0.3423,0.3356,0.0471,0.0394,0.9051,2.4061,0.0037,7.9466,6.6343,2.4373085040744638
0.312,0.3474,0.1173,0.518,0.0385,1236.939,0.0242,0.3149,0.7465,7.6812,17.2084,14.4833,2.3324,0.4328,0.3616,0.4812,0.5634,0.0298,0.1514,0.0884,2.7696,0.1944,0.0408,1.1313,0.4356,0.0016,6.6532,3.8253,8.473101096404823
0.9359999999999999,0.4189,0.0868,4.1578,0.1105,225.0828,0.0082,0.5983,0.0735,8.7281,7.0558,14.0019,1.812,0.0747,0.5762,5.7633,0.054,0.0614,0.0137,1.0539,1.4192,0.089,0.1253,0.1265,8.5584,0.0236,14.6439,1.6015,0.6661013636940104
3.5759,9.0948,0.0036,2.2658,0.3491,1338.6945,0.0004,1.6313,0.0213,117.1231,67.5954,8.9334,1.957,0.1198,0.4544,13.8906,0.2484,0.0158,0.2537,0.0498,2.379,0.4887,0.242,2.6014,1.4169,0.0711,4.2932,4.1162,0.986356543853544
0.0853,0.3327,0.2139,0.9591,0.1036,167.1949,0.0099,2.4173,1.4980000000000002,32.8941,39.84,8.9398,0.7225,0.051,0.2093,1.2415,0.0101,0.0271,0.0131,0.2452,0.0996,1.2424,0.1166,6.653,0.2868,0.0311,0.2465,0.2506,0.8604622184188422
