k_E,k_M,k_CD,k_CDS,k_R,k_RE,k_b,k_CE,k_I,k_P1,k_P2,k_DP,d_M,d_E,d_CD,d_CE,d_R,d_RP,d_RE,d_I,K_S,K_M,K_E,K_CD,K_CE,K_RP,K_P1,K_P2,bistable,rebi
3.6838,5.6624,0.1377,1.0788,0.0839,389.4502,0.013,0.0615,0.4049,160.0595,247.8853,35.3425,4.1489,0.2854,6.6349,10.4267,0.4365,0.5077,0.2914,1.5856,2.0099,0.2674,1.4183,2.0762,7.7994,0.0173,1.9812,1.49,1,1
3.9918,8.5521,0.0862,3.3875,1.5632,623.6922,0.0045,1.5215,1.2477,197.9293,262.0797,12.3181,1.1822,0.6563,9.8013,5.7666,0.5068,0.5488,0.0902,2.1551,2.515,0.1656,0.5881,3.9583,7.2683,0.0165,0.4164,14.841,1,1
3.9208,4.9142,0.08,3.7454,0.2193,807.6311,0.006,2.3719,0.4842,238.5028,100.2853,2.2538,1.5231,2.2256,12.3678,8.3107,0.2305,0.0818,0.1136,0.2254,1.5506,1.2544,0.486,6.1007,7.4774,0.0575,1.1083,18.508,1,0
1.6135,8.043,0.245,3.6822,0.9539,780.326,0.0275,0.8394,1.38,418.951,264.3862,3.5687,3.5324,1.3575,7.5613,7.5493,0.3846,0.1238,0.0273,1.3879,4.8543,0.4624,0.1471,3.7519,8.0562,0.0406,18.1344,16.0538,1,1
2.6023,2.89,0.0425,3.1232,0.4632,1285.3955,0.0005,0.606,0.8874,385.1709,105.6443,11.3598,4.815,1.1229,4.0842,12.0637,0.1102,0.1312,0.056,0.7511,0.3971,1.3876,0.3347,0.2102,9.1133,0.07,8.4509,1.3149,1,0
3.4731,3.4299,0.0625,3.3829,1.3573,1218.9941,0.0285,1.7729,0.0631,370.2783,124.6542,24.592,6.438,2.2184,1.7485,5.0246,0.3568,0.526,0.0223,2.7721,0.4118,0.5856,0.4027,5.9309,3.1785,0.0584,9.0291,0.4227,1,0
2.7331,9.7787,0.2105,2.6231,1.1396,36.8731,0.0295,0.7794,0.3107,204.2785,172.7336,26.5122,2.1434,1.2103,14.343,12.1187,0.364,0.3874,0.0429,1.9321,0.4196,0.2525,0.1156,0.2405,1.0169,0.0434,19.0963,0.5159,1,1
3.9123,4.27,0.1069,4.0741,0.2855,1613.9795,0.0048,1.4848,1.0808,358.1097,298.5425,1.4411,3.1095,0.8674,13.6901,7.233,0.4436,0.5686,0.0397,2.5765,3.3176,1.0149,0.8792,1.1133,1.2278,0.0144,8.7316,12.5463,1,1
3.6619,8.9561,0.1355,2.614,0.1807,1554.5881,0.0237,1.049,0.7613,193.5541,26.415,23.5168,0.0974,0.9995,8.5404,4.4776,0.429,0.4564,0.2267,1.2552,0.6225,0.9309,0.0903,2.0589,2.5062,0.0805,12.2476,1.2937,1,0
1.757,8.6542,0.2838,2.5824,0.8339,1636.3481,0.0235,3.2553,0.3393,326.6505,376.7317,2.7089,6.5699,2.1337,5.9684,12.5288,0.4006,0.459,0.2752,0.1977,1.8176,0.1905,0.1438,8.1241,0.9567,0.0747,2.0121,10.4244,1,0
1.8923,3.7138,0.1344,3.0037,0.0764,87.7992,0.0053,2.6842,0.6663,25.1297,219.3651,25.9341,4.3943,0.4073,13.9795,2.9358,0.4964,0.5183,0.0964,2.3418,2.3095,1.2665,0.3953,2.0666,4.8079,0.0268,1.512,11.446,1,1
2.7952,3.1436,0.061,2.8782,1.5679,393.2944,0.0051,2.2375,0.722,369.6209,287.492,3.1926,0.9686,0.2815,9.0317,6.1196,0.1235,0.2333,0.2348,1.5074,1.405,0.4702,1.4679,3.1946,8.7,0.0741,2.1694,5.2862,1,1
2.6269,4.0173,0.29,3.6314,1.5343,1500.0396,0.0273,2.8544,1.361,436.5086,44.1118,19.9909,6.3726,0.3277,0.6339,13.456,0.2524,0.2783,0.2481,0.2315,0.5893,1.3681,0.3956,3.4181,1.5755,0.0706,7.3659,10.318,1,1
2.7837,9.9966,0.0797,2.1935,0.0938,760.0891,0.0113,3.4459,0.2332,285.0907,294.4182,34.5591,6.0666,1.0566,8.3423,2.6056,0.4983,0.3075,0.0885,2.3376,1.2061,1.3888,0.0229,7.2562,8.3161,0.0478,19.5119,0.8258,1,1
3.8513,9.8495,0.044,1.5593,0.107,466.0259,0.0293,0.7204,0.0926,365.7351,111.5196,19.3497,5.8351,0.1014,2.7651,14.3502,0.426,0.4357,0.0769,0.1082,3.3102,0.2068,1.1665,1.0134,2.1373,0.0101,10.4136,1.1953,1,1
3.1712,5.5982,0.2152,0.9701,0.4856,212.011,0.0254,2.1398,1.169,64.7555,125.0615,35.332,6.0597,1.237,7.6402,13.551,0.3086,0.5034,0.1463,1.7619,1.2641,0.2815,0.0575,4.7052,2.5013,0.0133,10.075,1.6765,1,1
3.4136,9.587,0.2875,2.817,1.1077,433.7815,0.0144,2.0864,0.3209,340.0585,203.7585,3.1194,4.4342,0.0756,4.9927,10.793,0.0668,0.2904,0.1355,2.7145,4.7289,0.0604,1.3622,0.3833,5.1792,0.0101,14.5613,10.1918,1,1
1.8786,7.2703,0.0242,3.9438,0.1887,1069.7213,0.0032,2.7467,0.114,127.5875,259.638,25.2342,1.7501,1.3704,12.117,11.2405,0.1166,0.1207,0.1298,1.7107,0.0563,1.4879,0.0434,6.3859,1.6433,0.0335,3.5032,17.2843,1,0
3.6552,3.4694,0.0909,1.119,1.3032,811.0696,0.0057,3.4954,1.074,291.1961,347.6136,27.3206,1.7413,2.2746,0.6583,3.4126,0.4668,0.2599,0.1308,2.4545,1.9896,0.0232,0.1907,0.3934,5.9009,0.0138,15.9556,3.7426,1,1
0.8593,7.4237,0.1064,1.6171,0.245,1083.8743,0.0235,0.9846,1.3214,290.0027,335.1708,3.1883,2.4854,2.2711,9.4098,12.8827,0.4368,0.3007,0.2077,2.3381,1.9707,0.1885,0.0652,2.355,8.5253,0.0936,4.7157,14.0106,1,1
3.4231,4.2909,0.2589,3.0592,0.4895,468.7311,0.015,0.7838,0.2592,206.4305,374.2147,9.373,0.1477,0.333,2.7185,0.2274,0.0391,0.0458,0.1962,1.614,4.0995,0.8165,0.0317,5.9613,5.7336,0.0761,16.5763,10.4186,1,0
1.597,5.0958,0.0209,1.1948,1.4439,1627.7174,0.0248,2.5798,1.1361,422.745,154.385,0.9959,2.4582,1.0542,3.4348,6.7592,0.3318,0.205,0.0811,2.0987,0.9265,0.2471,0.8785,1.3524,2.4288,0.0074,8.4716,12.3439,1,0
2.7455,7.6919,0.0075,2.3139,1.6883,675.503,0.0059,0.9425,0.647,445.6219,9.9904,28.1928,0.2498,2.2225,0.5814,0.2248,0.0643,0.2894,0.2635,0.5674,1.1906,1.0572,0.4432,2.9032,6.849,0.014,11.9305,4.6211,1,0
3.1252,7.7066,0.0086,3.2045,0.1321,754.4307,0.0149,2.8764,0.9936,372.732,28.344,14.6787,6.5275,0.8673,14.1647,8.3121,0.2295,0.2529,0.2485,0.1522,1.2148,0.3037,0.1742,5.5974,2.2033,0.0261,13.6148,12.6984,1,1
1.3545,6.1718,0.2533,3.4152,0.8273,653.1132,0.0168,2.6324,1.371,328.587,30.2524,23.4099,2.4779,0.0578,7.6473,12.1551,0.287,0.5678,0.0115,2.1845,2.6179,0.4841,1.3479,4.1934,1.1171,0.0809,2.2851,6.0698,1,1
1.638,8.01,0.0794,2.0391,0.744,1584.4463,0.0199,2.4988,0.8829,221.6786,229.8007,2.0515,3.7467,0.0693,6.5099,10.9559,0.452,0.0189,0.0569,1.45,0.5223,0.243,1.3896,5.2223,4.2167,0.0401,2.0606,4.468,1,1
1.8021,6.2888,0.2634,3.5085,0.5521,1061.3408,0.0081,2.839,0.5518,317.7028,4.7808,9.9548,6.5198,1.6378,6.6578,13.6456,0.4302,0.2578,0.0772,2.2311,1.8778,0.3667,0.2207,0.1225,6.7072,0.0802,12.5671,3.6645,1,0
1.8994,1.9943,0.1072,3.1374,0.0342,911.0664,0.0298,1.4164,0.4972,90.284,294.1494,16.4531,6.4989,1.0056,13.2336,5.6089,0.3397,0.5318,0.0117,1.0227,3.1111,0.9984,0.1998,2.1624,3.421,0.0233,8.0663,2.6851,1,1
3.3427,4.4555,0.0746,4.364,1.2741,395.8165,0.0298,1.5797,0.3793,371.3659,245.7056,23.33,6.8588,0.6613,5.3209,7.7707,0.0815,0.3014,0.0691,2.9751,0.8645,0.7529,0.0889,4.7592,0.2211,0.0091,5.5086,6.0531,1,0
1.0986,6.6903,0.2999,3.3986,0.1163,106.1674,0.0227,3.3491,1.067,434.8044,425.8832,24.5073,6.8914,0.232,2.3848,8.1357,0.3797,0.5906,0.1291,1.979,3.4862,1.3431,1.0246,0.3309,3.0333,0.0556,1.2514,7.8265,1,0
3.1012,9.8114,0.228,3.4904,0.3856,80.0176,0.0228,2.0817,0.7728,116.5599,85.9731,17.5425,1.3308,0.5197,11.5092,7.8403,0.5039,0.4068,0.0055,0.5655,3.0366,1.4096,0.1885,4.8475,8.2258,0.0817,18.729,2.247,1,1
3.9775,0.5915,0.0547,3.4258,0.4774,139.8806,0.0201,1.9736,0.808,237.6615,258.0515,27.7115,0.9664,1.3101,5.9876,5.6229,0.1747,0.1285,0.1404,0.5052,3.2375,0.037,0.2682,6.1105,7.4095,0.0744,16.9243,16.0204,1,1
2.0812,8.1505,0.2267,2.0736,0.7913,44.5606,0.0089,2.9034,1.4947,301.2672,347.9992,16.3344,6.8312,0.9861,0.9946,1.5912,0.4103,0.373,0.0798,1.9621,3.6072,0.5911,0.4576,8.7054,5.7703,0.0589,16.1072,12.449,1,1
3.9488,9.1722,0.2651,3.5298,1.2634,684.7564,0.0176,3.072,0.7272,48.792,208.7344,18.5435,5.5868,0.3291,11.7894,1.6745,0.2644,0.1749,0.0966,1.4062,2.4519,0.024,0.0332,3.7653,1.1367,0.0675,17.1289,11.3438,1,0
2.9407,5.4448,0.1491,1.262,0.1869,93.609,0.0294,0.1783,0.4223,290.1297,155.0341,13.4985,3.8967,0.0554,6.3229,4.3403,0.0112,0.196,0.122,1.5518,4.6442,0.5137,1.4455,8.31,2.7017,0.0787,0.6912,16.3054,1,1
2.4118,9.5664,0.0963,3.6528,1.4759,367.2646,0.0114,1.2115,0.4922,263.5919,47.114,22.957,4.487,0.4316,3.8406,1.979,0.5614,0.0971,0.0335,2.844,2.8341,1.2918,0.0295,8.3884,4.4304,0.0146,5.7773,12.5837,1,0
1.8967,4.7231,0.219,4.181,0.808,139.6036,0.0209,3.2503,0.2397,334.5377,402.7398,3.1892,2.5711,0.053,3.4449,0.306,0.565,0.3816,0.2119,0.4517,2.7559,0.7018,0.7485,6.4557,6.0551,0.0224,11.1687,18.6921,1,1
2.8008,7.0825,0.0984,3.8812,0.2749,1007.1181,0.0292,1.1787,0.8448,206.9755,226.3046,9.4798,5.226,2.1753,11.1605,4.1988,0.0325,0.3538,0.0121,2.4683,0.7091,0.1129,0.1228,1.8153,5.409,0.0224,1.0398,11.5969,1,0
3.6964,0.5692,0.0715,4.2337,0.2122,815.4168,0.0223,2.4017,1.0702,296.2744,175.3308,6.2613,0.6078,1.1587,7.7804,1.9386,0.5817,0.564,0.0632,2.6463,3.5955,0.1468,0.3844,3.032,5.5039,0.0435,15.4787,18.0403,1,1
3.5547,8.2153,0.1855,3.0966,0.9919,1017.1017,0.0229,2.586,0.0198,330.998,96.048,22.4724,4.8578,1.3509,1.7947,3.0571,0.5326,0.4641,0.2773,0.3389,0.1104,0.8793,0.1481,3.5254,1.0059,0.0284,8.3432,19.8617,1,0
0.8447,5.9562,0.0181,4.4174,1.1471,994.1663,0.0229,1.765,1.453,70.7752,409.4859,1.111,0.9028,0.1183,0.8285,2.94,0.2769,0.4484,0.0715,0.1479,2.5182,0.2292,0.8262,4.0767,0.4617,0.0995,1.8935,16.9365,1,1
3.3215,7.9508,0.0927,1.4762,0.737,534.6196,0.0149,2.9025,0.6431,300.9994,397.6529,12.6793,0.6674,1.1005,6.4493,1.3941,0.2673,0.1559,0.108,0.7106,0.8313,0.9233,0.6636,5.3257,0.1313,0.0752,5.8254,2.7167,1,1
1.8658,2.9525,0.1894,4.2014,0.8698,829.6062,0.0156,1.6702,0.8351,433.667,201.9531,25.8282,5.184,0.1319,5.3555,0.5137,0.4155,0.1614,0.0448,2.7178,2.7744,1.368,0.0256,8.1473,1.2729,0.0081,8.8132,14.641,1,1
3.181,4.9329,0.2567,4.196,0.5713,650.1974,0.0276,2.1412,1.4283,329.1818,392.3547,20.3978,0.68,1.0361,0.9908,9.827,0.2423,0.5388,0.0246,0.8019,0.091,0.1466,0.2076,8.0964,8.9928,0.0968,10.7291,1.4014,1,1
2.8648,5.4912,0.1336,4.1139,1.73,281.7121,0.0194,1.8253,0.5889,67.0747,350.2624,3.3127,5.8439,2.4766,8.4143,11.2932,0.2327,0.3108,0.2552,2.7294,1.0932,1.3497,0.0736,2.5072,6.7618,0.0551,1.8317,1.1153,1,1
2.2999,7.398,0.2774,3.166,0.0614,742.7221,0.0271,2.8131,0.2516,361.7527,348.0861,1.2904,3.9589,0.4926,13.9089,10.2205,0.2917,0.2944,0.0663,1.0662,3.6814,0.6012,0.4251,2.3606,9.048,0.0658,19.6987,15.4667,1,1
3.8247,8.1245,0.1948,0.5492,0.3364,54.1938,0.0206,1.7809,1.227,448.8138,51.2563,15.6201,4.0064,0.231,4.8847,12.7598,0.4414,0.1377,0.2879,2.2545,4.7978,0.0171,0.292,9.0138,4.8627,0.0875,5.4969,10.7881,1,0
3.2266,4.9061,0.0434,1.8274,0.0721,347.661,0.0186,0.0536,0.3869,270.8796,392.4094,8.5014,3.6454,0.4218,3.0789,2.5515,0.1574,0.5531,0.0397,2.4394,3.1203,1.3401,1.385,8.3701,7.9036,0.0824,2.5344,11.8659,1,1
2.3148,5.7678,0.0167,2.3894,0.8889,1350.0046,0.0145,3.2043,0.8135,274.2244,138.4198,1.9048,1.0079,2.3677,10.9801,8.3038,0.2145,0.0253,0.2098,1.3497,3.5712,0.6437,0.0191,7.7045,0.1692,0.0657,10.1793,13.3926,1,1
1.5882,2.9728,0.1768,1.4064,0.0403,1470.1269,0.0008,2.3636,0.0671,346.6949,4.8659,12.4733,0.2447,1.0343,5.6282,6.8845,0.4318,0.4369,0.2805,1.3342,1.3154,0.328,0.1458,7.8241,8.8047,0.0084,0.2538,6.3303,1,0
3.6409,6.2025,0.2717,4.0241,0.6115,807.9618,0.0141,0.6498,0.2998,228.8702,422.6032,20.4189,6.1989,0.5664,14.203,1.6347,0.0091,0.2391,0.0383,0.606,2.376,0.2094,0.7553,0.5493,5.8811,0.0865,0.8391,19.0044,1,1
3.8229,8.5066,0.0062,3.3317,0.7808,1747.1793,0.0297,1.0092,0.8588,362.3567,416.2921,19.6297,4.3388,0.1493,9.6979,2.7745,0.075,0.4793,0.0788,2.3521,2.6254,0.3231,0.2368,6.1012,6.9687,0.0951,1.3489,1.1324,1,1
1.0075,7.933,0.0944,3.263,1.7908,1264.8053,0.0135,2.6105,0.0744,151.337,412.1007,1.1057,6.3342,1.285,2.1627,5.2077,0.0222,0.1386,0.0561,0.3976,1.0599,0.7215,0.0501,2.6386,4.2813,0.0633,19.2535,11.2499,1,1
2.4909,4.0359,0.0551,4.3069,0.4388,1758.2038,0.0029,0.236,0.6316,273.1059,388.0632,22.0585,3.4765,0.4688,2.2632,10.2094,0.3957,0.1914,0.0145,1.5407,4.4817,0.2624,0.0477,6.2481,8.835,0.0063,4.868,14.672,1,1
1.7992,2.6428,0.1003,2.7277,1.3026,538.6161,0.0164,0.4998,0.0854,187.1603,132.293,5.3339,0.2471,1.5997,5.6201,13.6188,0.4514,0.3123,0.0393,2.2112,1.0036,0.4151,0.5576,1.8532,6.2938,0.0094,3.0496,17.0678,1,1
3.9403,9.6875,0.2487,3.0522,0.316,384.7817,0.0221,2.7295,0.4617,274.2629,207.4625,14.996,2.4951,1.4246,1.2934,11.4894,0.4773,0.4057,0.2026,0.2811,1.6486,0.5076,0.3692,2.4034,6.5379,0.0329,1.4389,4.6045,1,1
2.7391,1.0665,0.2284,1.4445,0.2178,745.883,0.0016,3.4392,1.3363,255.0193,165.4691,20.0821,1.7117,2.0043,9.8571,13.443,0.4763,0.3457,0.1755,0.3737,2.3455,1.0191,0.0468,0.7395,4.8046,0.0993,6.9754,3.7426,1,1
3.7868,3.9111,0.1023,4.2149,1.0341,1360.8538,0.0108,0.161,0.5072,446.1141,183.7157,31.2993,0.3254,2.1312,4.1585,14.9882,0.0834,0.1682,0.1998,2.1899,3.8705,1.3191,0.9789,0.7535,5.7729,0.0994,5.5038,11.2792,1,0
1.1831,9.4076,0.0967,4.0233,1.6383,1053.692,0.0234,3.4401,0.0901,405.5391,33.443,8.6608,5.8831,0.5237,1.5604,11.1054,0.3495,0.0178,0.0739,0.2773,4.2552,0.8618,0.1124,7.3206,0.8488,0.0208,12.2008,3.7783,1,1
1.8396,8.5243,0.2603,2.2473,0.1417,1025.0041,0.0222,1.5655,1.469,252.1338,402.1067,8.241,5.3759,1.0783,2.3491,14.6199,0.3087,0.5593,0.2748,1.8748,0.4742,0.2568,0.3095,1.711,0.2855,0.0857,17.3319,5.3061,1,1
2.4781,6.9228,0.1395,3.9788,0.0927,333.4147,0.0063,0.0727,0.8251,256.8782,351.6718,13.1646,5.4571,0.1544,7.165,3.3631,0.0527,0.1748,0.1023,1.0431,2.2087,1.3658,0.6332,3.3178,1.462,0.0845,14.9558,9.7476,1,1
1.2368,4.7884,0.019,2.9677,0.0394,818.1168,0.0183,1.7237,0.9529,105.3758,318.4384,5.5104,0.6647,0.7623,8.8115,12.4269,0.4425,0.088,0.2538,0.8962,0.6903,0.5404,0.037,6.5885,9.085,0.0615,19.7022,12.3603,1,0
3.531,4.242,0.0273,1.8468,0.0557,838.6314,0.0127,0.2367,0.0452,168.3021,79.2121,11.309,0.2054,0.6052,7.1887,7.8164,0.1549,0.4883,0.2713,2.3711,3.4883,0.5027,1.1398,3.0095,3.2662,0.0622,9.4869,8.3224,1,1
3.4803,8.1927,0.0646,3.3101,0.1428,322.2767,0.0186,2.2446,1.2784,428.5425,188.5183,20.3862,2.0413,1.3115,9.6445,0.9662,0.4088,0.1463,0.2739,0.8963,0.6756,1.112,0.3616,6.1978,3.7791,0.0593,11.7067,12.2185,1,1
2.2475,8.9374,0.106,4.1981,0.94,1465.7561,0.0156,0.7946,0.1613,122.224,92.94,18.3865,4.0252,0.8809,5.0515,2.0222,0.063,0.1059,0.1024,1.2299,2.6571,0.8428,0.7179,0.9801,2.1856,0.0669,2.1257,2.2321,1,0
1.7995,9.5798,0.1107,4.1929,0.2817,1787.668,0.0133,2.9026,0.8722,316.2007,345.6847,6.2897,5.2293,0.8924,14.0062,12.0365,0.1985,0.3554,0.2387,0.3828,4.2139,1.1546,0.3508,2.2698,1.6968,0.0628,1.745,7.9335,1,1
0.4956,8.9789,0.0751,3.5882,1.2921,108.0784,0.0248,0.2984,0.5343,302.5702,367.6599,22.2664,3.1545,0.0295,2.5385,4.2089,0.5199,0.1631,0.0039,2.8604,3.8596,0.5751,0.355,7.5206,2.8993,0.0228,0.9034,7.4968,1,0
3.1908,3.1753,0.2729,4.121,0.2818,1628.7052,0.0131,3.0211,1.2908,234.3132,111.3873,1.9163,3.973,0.8143,8.3115,11.0338,0.3154,0.3311,0.038,1.9088,3.5355,0.9264,0.1702,2.2281,4.2218,0.0875,12.0995,7.8941,1,1
2.5316,5.9097,0.2969,3.6395,0.6321,604.0092,0.0042,1.4916,1.4814,405.4948,191.569,29.8464,5.2437,2.3446,11.8412,5.2771,0.2776,0.3282,0.2227,2.8774,1.2681,0.9721,0.0562,0.1016,2.6353,0.0912,13.8163,7.9509,1,1
1.1275,3.2674,0.1902,0.1688,0.0269,1053.9623,0.0154,2.182,1.4068,250.8295,203.7066,9.0348,1.7159,1.4982,7.1204,6.2659,0.4423,0.4975,0.2419,1.4643,4.6287,0.0175,0.485,7.322,3.4246,0.035,6.0886,4.1778,1,1
1.8515,9.5811,0.1501,2.8063,0.3483,110.4751,0.0062,1.5619,0.0315,396.9886,128.2456,7.927,1.6717,2.484,6.8196,3.607,0.4966,0.4962,0.155,1.8111,3.9612,0.6355,0.2833,5.2316,9.125,0.0283,18.0419,0.5427,1,1
1.8092,2.1969,0.0048,1.3766,0.0745,225.4938,0.005,2.8833,0.6415,149.8493,259.2747,4.1422,0.5656,0.1944,2.8525,12.3779,0.1943,0.5682,0.0765,1.2414,0.9808,1.2848,0.4082,1.8444,7.238,0.0766,19.5916,11.6695,1,1
3.5115,3.5226,0.0486,0.6541,1.487,1448.2589,0.0098,2.4038,0.2635,283.0038,323.6008,12.9391,1.5851,0.9486,0.2397,6.5458,0.5767,0.0227,0.0178,2.1306,2.6091,0.4563,0.4474,6.6175,1.87,0.0442,8.1858,8.4964,1,1
2.5287,6.1401,0.2861,3.7087,0.3874,422.9645,0.0237,2.6992,1.4705,412.2417,157.4765,20.0388,1.5744,0.7593,8.603,4.4881,0.1277,0.5788,0.0114,1.382,4.4511,0.8729,0.348,6.4282,1.0331,0.0036,2.9853,5.4936,1,1
3.1562,8.2042,0.1198,0.6627,0.5096,1650.3021,0.0237,1.8022,0.1513,97.713,259.0903,1.4291,1.5094,2.4379,6.3734,2.5326,0.3641,0.3873,0.2231,1.6949,3.6843,0.2461,0.2836,1.4878,8.2773,0.0821,0.9893,4.4666,1,1
2.0351,7.0387,0.2031,0.3066,0.0336,1606.4391,0.0156,3.1217,1.4615,367.4101,303.3573,26.8074,1.4692,1.0498,8.5851,5.1543,0.5196,0.3227,0.1377,0.9416,1.0226,1.1622,0.5166,2.73,3.9217,0.0297,3.9651,16.671,1,1
2.3344,4.4597,0.2444,4.0421,1.6921,771.8419,0.0211,2.2474,0.991,363.6124,279.9458,4.5736,1.8198,1.0101,8.7744,4.0732,0.3206,0.4157,0.0982,2.9907,2.0849,0.8083,0.6124,1.5274,5.7023,0.0257,0.9416,18.5794,1,0
1.8456,8.3444,0.2038,3.4653,1.3156,1130.4881,0.0213,2.8519,1.2095,436.2362,355.0691,1.5176,1.0978,0.7343,8.4629,14.7159,0.0836,0.0322,0.1031,1.3801,4.1279,1.3649,0.2372,1.1328,3.1288,0.0539,9.5424,1.1346,1,1
1.5959,1.941,0.1925,3.7241,0.8035,711.6327,0.0063,0.2248,0.2226,258.3752,21.7668,3.0297,3.185,0.3539,1.1509,8.2956,0.4967,0.3092,0.2908,2.0568,1.6204,0.1724,1.1504,4.9224,3.8732,0.0496,11.1547,9.9315,1,1
3.9163,9.5701,0.1032,2.4577,0.3502,1332.1496,0.0205,2.7801,1.1202,381.4075,149.7322,2.8035,2.1898,1.8646,12.4915,11.6648,0.5023,0.0102,0.1257,0.0749,4.0263,0.2035,0.0471,8.6571,8.3637,0.06,12.8643,14.2442,1,1
2.8636,4.3646,0.0455,3.0622,0.0705,1248.2077,0.0191,0.4954,0.292,190.2576,6.9138,22.8664,2.6839,0.3587,14.4149,0.645,0.4188,0.5827,0.0771,0.6011,0.9615,0.2189,0.3756,4.7984,8.7826,0.1,9.9924,5.3127,1,1
2.3797,7.6388,0.1335,4.4042,1.2821,303.861,0.0152,0.43,1.003,442.7038,326.6203,6.0966,0.1198,2.216,3.8857,12.1755,0.0895,0.114,0.0255,2.418,1.7376,1.2355,0.583,7.8535,7.8531,0.0281,12.6851,0.4426,1,1
2.6416,3.5983,0.2485,3.0357,1.1082,192.0621,0.0104,1.2198,0.9048,413.5123,132.7656,5.0459,3.0656,0.3978,6.9487,3.0885,0.2887,0.537,0.2645,0.655,0.0663,0.3155,0.2323,4.1826,0.1484,0.0386,7.7737,17.3155,1,1
